customer_id,enquiry_date,total_credit_cards,credit_utilization_ratio,oldest_account_months,recent_defaults
CUST00001,2023-08-25,4,0.45,240,0
CUST00002,2024-12-10,2,0.46,205,0
CUST00003,2024-10-26,2,0.71,230,0
CUST00004,2023-05-11,5,0.68,85,0
CUST00005,2024-11-23,2,0.89,233,0
CUST00006,2023-07-03,5,0.9,186,2
CUST00007,2024-02-03,2,0.11,199,1
CUST00008,2024-04-06,0,0.08,232,0
CUST00009,2023-06-05,8,0.59,192,2
CUST00010,2024-01-13,3,0.46,185,0
CUST00011,2023-02-18,1,0.87,106,0
CUST00012,2023-01-03,4,0.77,190,0
CUST00013,2024-04-16,6,0.89,217,1
CUST00014,2023-06-29,3,0.66,171,0
CUST00015,2024-06-09,0,0.05,175,0
CUST00016,2024-01-11,2,0.4,122,0
CUST00017,2023-03-13,6,0.13,194,0
CUST00018,2023-03-05,6,0.74,194,0
CUST00019,2024-01-03,5,0.06,220,0
CUST00020,2024-08-23,0,0.24,191,0
CUST00021,2024-12-01,2,0.07,27,0
CUST00022,2023-04-20,1,0.18,52,0
CUST00023,2024-02-08,1,0.89,223,0
CUST00024,2023-01-10,2,0.42,67,0
CUST00025,2023-04-10,4,0.37,232,0
CUST00026,2023-09-28,5,0.84,159,0
CUST00027,2023-07-23,0,0.29,69,0
CUST00028,2023-09-19,8,0.34,47,0
CUST00029,2024-11-05,5,0.07,234,0
CUST00030,2024-05-17,4,0.58,162,0
CUST00031,2024-10-05,6,0.4,79,1
CUST00032,2024-04-02,0,0.54,84,0
CUST00033,2023-07-01,6,0.61,237,3
CUST00034,2023-06-19,5,0.15,105,0
CUST00035,2023-07-03,8,0.25,83,0
CUST00036,2023-05-09,2,0.61,228,3
CUST00037,2024-03-16,5,0.21,156,1
CUST00038,2023-01-07,8,0.9,21,1
CUST00039,2024-05-20,8,0.15,180,0
CUST00040,2024-07-04,3,0.18,161,0
CUST00041,2023-11-04,8,0.07,31,1
CUST00042,2023-08-17,0,0.27,71,0
CUST00043,2024-10-05,0,0.32,221,0
CUST00044,2024-03-23,1,0.66,223,0
CUST00045,2023-06-30,6,0.51,109,0
CUST00046,2023-04-13,1,0.12,133,0
CUST00047,2023-09-22,0,0.19,91,0
CUST00048,2024-05-15,0,0.79,184,0
CUST00049,2023-04-02,2,0.58,17,2
CUST00050,2023-12-26,0,0.51,184,2
CUST00051,2023-11-20,5,0.62,42,0
CUST00052,2023-03-10,2,0.83,11,0
CUST00053,2023-10-06,6,0.25,93,1
CUST00054,2023-06-26,2,0.38,151,0
CUST00055,2023-07-29,2,0.11,201,0
CUST00056,2024-11-29,1,0.94,9,2
CUST00057,2023-11-11,8,0.94,49,0
CUST00058,2023-09-25,0,0.66,92,0
CUST00059,2024-04-06,0,0.62,143,3
CUST00060,2024-09-05,7,0.08,211,0
CUST00061,2024-09-19,8,0.63,231,0
CUST00062,2023-06-22,1,0.09,92,0
CUST00063,2024-05-06,2,0.22,179,1
CUST00064,2024-11-30,1,0.79,48,0
CUST00065,2023-09-07,3,0.79,185,0
CUST00066,2024-11-15,7,0.92,31,1
CUST00067,2023-08-14,1,0.16,88,1
CUST00068,2024-05-05,7,0.18,86,2
CUST00069,2023-05-16,7,0.19,15,0
CUST00070,2024-12-07,5,0.6,132,0
CUST00071,2024-04-09,5,0.06,233,0
CUST00072,2023-08-15,0,0.5,43,0
CUST00073,2023-09-14,2,0.5,169,0
CUST00074,2023-07-05,2,0.21,102,0
CUST00075,2024-12-18,5,0.16,30,2
CUST00076,2024-12-29,0,0.08,231,0
CUST00077,2023-03-09,1,0.95,46,0
CUST00078,2023-02-07,0,0.68,115,0
CUST00079,2023-05-30,6,0.54,183,0
CUST00080,2024-07-18,4,0.71,147,0
CUST00081,2024-05-14,2,0.83,179,0
CUST00082,2023-11-18,3,0.28,193,0
CUST00083,2023-06-06,4,0.73,36,0
CUST00084,2023-03-29,7,0.68,110,1
CUST00085,2024-02-11,6,0.41,126,0
CUST00086,2023-04-03,3,0.22,6,1
CUST00087,2024-03-31,4,0.34,130,1
CUST00088,2023-12-04,6,0.05,22,0
CUST00089,2023-03-31,7,0.58,19,0
CUST00090,2024-03-13,2,0.93,64,0
CUST00091,2024-01-25,6,0.28,181,1
CUST00092,2024-07-17,4,0.31,147,0
CUST00093,2024-05-15,8,0.31,18,0
CUST00094,2024-05-26,0,0.71,82,0
CUST00095,2024-07-02,8,0.65,125,2
CUST00096,2024-11-08,1,0.47,76,0
CUST00097,2023-05-23,7,0.69,180,0
CUST00098,2024-02-29,3,0.68,111,0
CUST00099,2023-01-07,6,0.39,6,0
CUST00100,2024-05-30,8,0.82,95,0
CUST00101,2024-04-07,1,0.34,182,0
CUST00102,2023-06-29,1,0.43,218,0
CUST00103,2024-08-26,1,0.21,208,0
CUST00104,2024-06-10,2,0.7,229,0
CUST00105,2023-11-06,5,0.84,210,1
CUST00106,2023-04-29,5,0.14,159,0
CUST00107,2023-05-10,5,0.21,121,0
CUST00108,2024-10-24,8,0.35,147,0
CUST00109,2023-11-22,2,0.44,102,0
CUST00110,2024-12-20,0,0.17,219,0
CUST00111,2024-12-25,7,0.74,134,0
CUST00112,2024-07-18,7,0.82,52,0
CUST00113,2023-05-08,5,0.59,100,0
CUST00114,2024-11-19,2,0.14,101,1
CUST00115,2024-08-26,8,0.7,105,0
CUST00116,2024-07-20,3,0.16,112,0
CUST00117,2023-06-10,4,0.57,80,0
CUST00118,2023-12-25,5,0.42,72,0
CUST00119,2024-10-18,0,0.88,102,0
CUST00120,2023-07-30,2,0.85,43,2
CUST00121,2023-06-09,5,0.85,88,1
CUST00122,2023-09-23,4,0.54,9,0
CUST00123,2023-12-05,7,0.44,31,2
CUST00124,2023-03-09,7,0.94,198,0
CUST00125,2023-12-07,2,0.08,115,0
CUST00126,2024-03-10,2,0.45,30,0
CUST00127,2024-01-11,8,0.49,210,1
