customer_id,joining_date,credit_score,annual_income,employment_status,residential_status,age,state
CUST00001,2021-07-15,809,1240174,Unemployed,Rented,36,Delhi
CUST00002,2020-06-07,309,1450822,Employed,Owned,29,Maharashtra
CUST00003,2021-04-30,535,1366325,Self-Employed,Owned,22,Maharashtra
CUST00004,2023-09-23,431,816576,Employed,Owned,42,Karnataka
CUST00005,2022-04-23,797,1940646,Self-Employed,Owned,35,Telangana
CUST00006,2022-03-25,679,480774,Self-Employed,Rented,19,Karnataka
CUST00007,2020-12-20,653,987144,Employed,Rented,56,West Bengal
CUST00008,2021-08-06,803,522365,Employed,Owned,33,Tamil Nadu
CUST00009,2020-06-06,732,1851204,Unemployed,Rented,58,West Bengal
CUST00010,2023-01-31,524,654130,Self-Employed,Owned,19,Gujarat
CUST00011,2022-10-07,750,1862006,Employed,Rented,24,Delhi
CUST00012,2020-08-01,569,1051038,Employed,Rented,31,Uttar Pradesh
CUST00013,2020-03-03,716,840731,Employed,Rented,19,Delhi
CUST00014,2020-09-09,389,328593,Self-Employed,Rented,31,Uttar Pradesh
CUST00015,2020-08-01,477,1501617,Unemployed,Rented,56,Telangana
CUST00016,2021-03-23,807,603611,Employed,Owned,46,Delhi
CUST00017,2023-07-27,313,1285240,Self-Employed,Owned,59,Rajasthan
CUST00018,2021-12-02,559,1973041,Employed,Rented,38,Karnataka
CUST00019,2023-11-16,535,1643694,Unemployed,Owned,34,Tamil Nadu
CUST00020,2021-11-10,493,1515900,Employed,Rented,18,Gujarat
CUST00021,2023-11-10,507,860875,Employed,Rented,36,West Bengal
CUST00022,2021-05-21,536,1686647,Employed,Rented,34,Telangana
CUST00023,2022-03-04,849,360848,Unemployed,Owned,37,Tamil Nadu
CUST00024,2020-05-08,592,1386015,Employed,Owned,38,Delhi
CUST00025,2023-01-20,631,864081,Employed,Owned,57,Telangana
CUST00026,2021-03-20,442,649142,Employed,Owned,67,Uttar Pradesh
CUST00027,2022-03-12,713,711589,Unemployed,Owned,69,Karnataka
CUST00028,2022-11-28,498,684191,Self-Employed,Owned,65,Telangana
CUST00029,2021-04-03,395,1310841,Self-Employed,Owned,58,Maharashtra
CUST00030,2022-02-12,486,894653,Self-Employed,Rented,57,Maharashtra
CUST00031,2020-01-23,349,1196576,Unemployed,Rented,24,Maharashtra
CUST00032,2022-12-13,623,1811207,Unemployed,Owned,69,Delhi
CUST00033,2021-11-29,549,833755,Unemployed,Owned,55,Karnataka
CUST00034,2022-11-24,464,1933449,Unemployed,Owned,44,West Bengal
CUST00035,2023-03-11,791,324310,Unemployed,Owned,68,Rajasthan
CUST00036,2023-07-03,801,984017,Unemployed,Rented,30,Delhi
CUST00037,2020-10-31,446,1809212,Self-Employed,Owned,63,Gujarat
CUST00038,2022-12-18,390,214569,Self-Employed,Rented,56,Uttar Pradesh
CUST00039,2022-06-18,457,1023856,Self-Employed,Owned,18,Uttar Pradesh
CUST00040,2020-03-31,686,1920448,Employed,Rented,24,Gujarat
CUST00041,2023-10-01,658,300854,Unemployed,Owned,62,Uttar Pradesh
CUST00042,2023-03-29,662,1103508,Self-Employed,Owned,55,Delhi
CUST00043,2021-03-06,674,275324,Employed,Owned,22,Uttar Pradesh
CUST00044,2021-01-07,339,231474,Self-Employed,Rented,58,West Bengal
CUST00045,2023-02-22,847,1017840,Self-Employed,Rented,43,Tamil Nadu
CUST00046,2022-07-20,490,1048214,Unemployed,Owned,70,Maharashtra
CUST00047,2023-07-05,806,1258356,Unemployed,Owned,61,West Bengal
CUST00048,2022-11-21,524,1229119,Employed,Owned,23,Gujarat
CUST00049,2023-10-21,680,268377,Employed,Rented,32,Gujarat
CUST00050,2020-08-01,508,1393831,Employed,Owned,26,Tamil Nadu
CUST00051,2021-08-22,846,1401646,Unemployed,Owned,63,Telangana
CUST00052,2020-01-22,475,608179,Self-Employed,Rented,22,Rajasthan
CUST00053,2020-05-27,849,626249,Employed,Rented,33,Karnataka
CUST00054,2020-06-21,454,731273,Self-Employed,Owned,64,Karnataka
CUST00055,2023-08-18,833,405879,Self-Employed,Owned,33,Delhi
CUST00056,2023-01-18,634,1858376,Employed,Owned,39,Uttar Pradesh
CUST00057,2023-11-01,574,1726282,Employed,Rented,66,Gujarat
CUST00058,2021-10-29,635,962628,Self-Employed,Rented,45,Telangana
CUST00059,2023-12-26,709,1109898,Self-Employed,Owned,58,Uttar Pradesh
CUST00060,2023-03-26,446,682979,Self-Employed,Owned,33,Karnataka
CUST00061,2022-01-30,483,1379530,Self-Employed,Owned,23,Rajasthan
CUST00062,2020-06-07,731,1286561,Employed,Owned,39,Karnataka
CUST00063,2020-07-15,392,1332673,Self-Employed,Rented,27,West Bengal
CUST00064,2021-11-02,720,1264652,Employed,Owned,30,Gujarat
CUST00065,2021-05-02,518,216312,Unemployed,Owned,43,Kerala
CUST00066,2021-02-24,370,972769,Employed,Rented,59,Tamil Nadu
CUST00067,2023-01-14,621,436265,Unemployed,Owned,22,Telangana
CUST00068,2023-10-01,809,688816,Employed,Owned,32,Kerala
CUST00069,2023-01-14,622,1927262,Self-Employed,Owned,50,Delhi
CUST00070,2020-07-28,413,1388131,Self-Employed,Owned,62,Uttar Pradesh
CUST00071,2021-12-24,570,1035307,Employed,Rented,59,West Bengal
CUST00072,2021-08-06,454,487069,Unemployed,Owned,36,West Bengal
CUST00073,2022-05-24,395,548756,Self-Employed,Rented,69,West Bengal
CUST00074,2021-08-01,663,770384,Employed,Rented,23,Telangana
CUST00075,2023-09-13,593,386297,Self-Employed,Owned,31,Gujarat
CUST00076,2023-06-18,396,720620,Employed,Rented,52,Telangana
CUST00077,2023-01-31,314,595955,Unemployed,Rented,25,Delhi
CUST00078,2021-10-29,402,1496436,Employed,Rented,52,Telangana
CUST00079,2022-11-23,352,937444,Unemployed,Rented,51,Karnataka
CUST00080,2022-01-14,679,1885099,Unemployed,Owned,39,Gujarat
CUST00081,2022-09-11,650,214138,Self-Employed,Owned,23,Maharashtra
CUST00082,2020-01-11,794,1365440,Unemployed,Owned,25,Maharashtra
CUST00083,2022-04-08,607,1567743,Employed,Owned,51,West Bengal
CUST00084,2023-03-30,366,572109,Unemployed,Owned,29,Kerala
CUST00085,2021-08-10,741,1456242,Employed,Rented,50,Delhi
CUST00086,2021-07-31,849,261132,Unemployed,Rented,32,Kerala
