loan_id,customer_id,disbursement_date,loan_amount,interest_rate,tenure_months,loan_type,emi_amount,current_status
LN00001,CUST01967,2024-12-18,2341575,8.85,240,Business Loan,20842,ACTIVE
LN00002,CUST00760,2023-05-18,525981,17.66,180,Auto Loan,8342,ACTIVE
LN00003,CUST01837,2024-06-22,786872,15.4,12,Auto Loan,71170,ACTIVE
LN00004,CUST06449,2022-01-13,2564401,16.77,48,Personal Loan,73691,ACTIVE
LN00005,CUST09460,2024-03-24,341760,13.52,36,Home Loan,11601,ACTIVE
LN00006,CUST03695,2021-05-27,2939901,18.02,60,Business Loan,74686,DELINQUENT
LN00007,CUST01185,2024-04-28,703018,10.39,120,Auto Loan,9442,DELINQUENT
LN00008,CUST01046,2022-09-08,780929,18.23,12,Personal Loan,71681,DEFAULT
LN00009,CUST04135,2021-07-24,225705,18.26,24,Personal Loan,11296,CLOSED
LN00010,CUST00916,2022-02-01,2269206,17.49,120,Education Loan,40145,ACTIVE
LN00011,CUST01720,2021-09-11,731533,10.02,48,Education Loan,18560,CLOSED
LN00012,CUST06725,2021-03-14,382772,13.61,48,Education Loan,10385,ACTIVE
LN00013,CUST04283,2023-10-09,434058,16.64,48,Business Loan,12444,ACTIVE
LN00014,CUST03819,2024-03-31,445318,18.06,36,Personal Loan,16112,ACTIVE
LN00015,CUST07540,2022-06-09,738902,13.22,120,Home Loan,11128,CLOSED
LN00016,CUST06139,2020-02-15,385783,16.53,36,Home Loan,13664,DELINQUENT
LN00017,CUST07271,2024-06-04,585928,10.14,24,Business Loan,27075,ACTIVE
LN00018,CUST09158,2022-09-17,1295405,18.02,240,Education Loan,20012,ACTIVE
LN00019,CUST03435,2024-11-25,1319756,8.59,240,Auto Loan,11528,ACTIVE
LN00020,CUST03492,2024-06-12,178708,11.84,12,Home Loan,15864,ACTIVE
LN00021,CUST04247,2020-06-21,600121,11.2,36,Personal Loan,19704,DELINQUENT
LN00022,CUST08420,2023-05-21,1862320,10.39,180,Education Loan,20459,DELINQUENT
LN00023,CUST00051,2022-02-04,65103,10.93,60,Education Loan,1413,ACTIVE
LN00024,CUST05815,2021-02-01,2953958,17.63,180,Auto Loan,46786,DELINQUENT
LN00025,CUST04225,2020-03-02,789606,17.45,12,Business Loan,72184,ACTIVE
LN00026,CUST05011,2024-01-29,2585826,14.2,120,Education Loan,40460,CLOSED
LN00027,CUST05808,2024-07-31,379623,17.9,48,Business Loan,11131,ACTIVE
LN00028,CUST06714,2024-12-07,1631779,13.78,48,Business Loan,44410,ACTIVE
LN00029,CUST09295,2021-02-13,2768049,12.6,48,Business Loan,73711,ACTIVE
LN00030,CUST06215,2021-07-16,836136,16.76,36,Business Loan,29710,ACTIVE
LN00031,CUST00584,2022-01-26,147135,9.12,60,Business Loan,3062,DELINQUENT
LN00032,CUST09310,2024-08-25,2777041,9.6,36,Business Loan,89086,ACTIVE
LN00033,CUST07011,2021-05-28,170339,14.81,12,Personal Loan,15359,DELINQUENT
LN00034,CUST06322,2022-10-20,2274063,12.52,240,Education Loan,25868,ACTIVE
LN00035,CUST00564,2022-05-15,1499121,10.25,36,Personal Loan,48548,ACTIVE
LN00036,CUST03028,2021-10-30,2095756,13.2,120,Home Loan,31539,DELINQUENT
LN00037,CUST02112,2021-05-28,470627,10.76,12,Auto Loan,41542,ACTIVE
LN00038,CUST00860,2022-10-23,218789,10.97,60,Personal Loan,4753,CLOSED
LN00039,CUST07876,2022-10-31,114385,10.72,60,Business Loan,2471,DELINQUENT
LN00040,CUST07891,2022-08-03,676106,9.48,24,Business Loan,31036,ACTIVE
LN00041,CUST03648,2024-02-18,219756,12.26,36,Auto Loan,7326,ACTIVE
LN00042,CUST09605,2022-10-10,399759,12.15,240,Business Loan,4443,ACTIVE
LN00043,CUST00509,2021-08-18,215601,14.83,12,Personal Loan,19442,ACTIVE
LN00044,CUST01946,2021-07-18,687912,10.59,120,Business Loan,9317,ACTIVE
LN00045,CUST00757,2023-11-03,2428749,15.39,24,Education Loan,118212,CLOSED
LN00046,CUST06858,2023-12-04,657366,13.35,24,Education Loan,31360,ACTIVE
LN00047,CUST03002,2021-09-25,519674,15.97,12,Auto Loan,47143,ACTIVE
LN00048,CUST03145,2022-02-26,178906,17.46,48,Auto Loan,5205,ACTIVE
LN00049,CUST03266,2023-12-27,65367,15.13,24,Auto Loan,3173,DELINQUENT
LN00050,CUST08181,2024-10-02,269648,9.47,240,Business Loan,2508,ACTIVE
LN00051,CUST03368,2021-07-20,546484,16.22,48,Personal Loan,15549,ACTIVE
LN00052,CUST08571,2023-03-04,595245,15.56,180,Business Loan,8560,ACTIVE
LN00053,CUST08274,2022-01-31,163714,11.85,120,Business Loan,2334,ACTIVE
LN00054,CUST00415,2020-06-23,674625,15.43,24,Personal Loan,32848,ACTIVE
LN00055,CUST07645,2022-02-11,826304,8.96,24,Education Loan,37734,ACTIVE
LN00056,CUST07099,2024-10-09,2609175,9.38,180,Education Loan,27057,ACTIVE
LN00057,CUST05170,2023-07-28,719400,8.95,24,Personal Loan,32849,CLOSED
LN00058,CUST01191,2023-12-10,530883,13.36,48,Home Loan,14337,DELINQUENT
LN00059,CUST07477,2022-09-01,413302,15.74,240,Personal Loan,5669,CLOSED
LN00060,CUST08955,2022-02-19,2079311,10.41,60,Business Loan,44599,DEFAULT
LN00061,CUST09915,2020-03-09,675918,10.88,48,Auto Loan,17430,ACTIVE
LN00062,CUST03303,2021-02-22,388868,11.69,48,Auto Loan,10181,ACTIVE
LN00063,CUST02794,2024-07-31,888484,10.38,180,Home Loan,9755,ACTIVE
LN00064,CUST02852,2022-11-03,1526477,17.45,180,Business Loan,23981,CLOSED
LN00065,CUST08148,2022-01-31,422632,10.24,48,Personal Loan,10767,CLOSED
LN00066,CUST06181,2020-02-24,2593749,12.07,36,Auto Loan,86236,ACTIVE
LN00067,CUST08187,2024-12-15,292867,9.56,240,Auto Loan,2741,CLOSED
LN00068,CUST03726,2021-02-25,708059,17.83,180,Personal Loan,11316,CLOSED
LN00069,CUST08046,2020-06-26,680497,14.34,24,Business Loan,32782,ACTIVE
LN00070,CUST09313,2023-01-31,123395,17.07,240,Auto Loan,1816,ACTIVE
LN00071,CUST06900,2021-12-04,762715,9.66,48,Education Loan,19220,ACTIVE
